date,Equity,ReturnDaily,Abs(ReturnDaily),C2LeverageWght,RetDivLev,RetDivLevRoll180,LevSMA7,RetDivLevSMA7,RetDivLevSMA7_180,DB_LeverageWght180,DB_LeverageWghtSMA7180
2020-03-20,60696.68,0.000857454,0.000857454,0.16,0.535908508,,0.045714286,1.875679779,,0,0
2020-03-21,60696.68,0,0,0.16,0,,0.068571429,0,,0,0
2020-03-22,60696.68,0,0,0.16,0,,0.091428571,0,,0,0
2020-03-23,61624.88,0.015292434,0.015292434,0.08,19.11554306,,0.102857143,14.8676446,,0,0
2020-03-24,61624.88,0,0,0,0,,0.102857143,0,,0,0
2020-03-25,61792.8,0.002724873,0.002724873,0.16,1.703045913,,0.125714286,2.16751298,,0,0
2020-03-26,61792.8,0,0,0,0,,0.102857143,0,,0,0
2020-03-27,61792.8,0,0,0,0,,0.08,0,,0,0
2020-03-28,61792.8,0,0,0,0,,0.057142857,0,,0,0
2020-03-29,61792.8,0,0,0,0,,0.034285714,0,,0,0
2020-03-30,61704.66,-0.00142638,0.00142638,0.4,0.356594943,,0.08,1.782974716,,0,0
2020-03-31,61572.58,-0.002140519,0.002140519,0,0,,0.08,2.675648808,,0,0
2020-04-01,61572.58,0,0,0,0,,0.057142857,0,,0,0
2020-04-02,61572.58,0,0,0,0,,0.057142857,0,,0,0
2020-04-03,61572.58,0,0,0,0,,0.057142857,0,,0,0
2020-04-04,61572.58,0,0,0,0,,0.057142857,0,,0,0
2020-04-05,61572.58,0,0,0,0,,0.057142857,0,,0,0
2020-04-06,61920.06,0.005643421,0.005643421,0.16,3.527138216,,0.022857143,24.68996751,,0,0
2020-04-07,61916.06,-6.45994E-05,6.45994E-05,0.16,0.040374638,,0.045714286,0.141311233,,0,0
2020-04-08,62098.79,0.002951254,0.002951254,0.32,0.922266775,,0.091428571,3.227933714,,0,0
2020-04-09,62258.79,0.00257654,0.00257654,0.32,0.805168668,,0.137142857,1.878726891,,0,0
2020-04-10,62258.79,0,0,0.32,0,,0.182857143,0,,0,0
2020-04-11,62258.79,0,0,0.32,0,,0.228571429,0,,0,0
2020-04-12,62258.79,0,0,0.32,0,,0.274285714,0,,0,0
2020-04-13,63197.79,0.015082208,0.015082208,0.31,4.86522828,,0.295714286,5.100263463,,0,0
2020-04-14,64422.7,0.019382165,0.019382165,0.23,8.427028306,,0.305714286,6.339960548,,0,0
2020-04-15,64239.7,-0.002840614,0.002840614,0.23,1.235049406,,0.292857143,0.969965631,,0,0
2020-04-16,64600.52,0.005616776,0.005616776,0.15,3.744517279,,0.268571429,2.091352736,,0,0
2020-04-17,64647.23,0.000723059,0.000723059,0.23,0.314373563,,0.255714286,0.282760579,,0,0
2020-04-18,64647.23,0,0,0.23,0,,0.242857143,0,,0,0
2020-04-19,64647.23,0,0,0.23,0,,0.23,0,,0,0
2020-04-20,64553.23,-0.001454045,0.001454045,0.23,0.632193602,,0.218571429,0.665249477,,0,0
2020-04-21,64494.42,-0.000911031,0.000911031,0.08,1.138788872,,0.197142857,0.462117224,,0,0
2020-04-22,64494.42,0,0,0,0,,0.164285714,0,,0,0
2020-04-23,64269.25,-0.00349131,0.00349131,0.14,2.493792708,,0.162857143,2.143786714,,0,0
2020-04-24,64367.25,0.001524835,0.001524835,0.14,1.089167837,,0.15,1.016556648,,0,0
2020-04-25,64367.25,0,0,0.14,0,,0.137142857,0,,0,0
2020-04-26,64367.25,0,0,0.14,0,,0.124285714,0,,0,0
2020-04-27,64745.79,0.005880941,0.005880941,0.3,1.960313669,,0.134285714,4.379424154,,0,0
2020-04-28,64230.33,-0.00796129,0.00796129,0.14,5.686635599,,0.142857143,5.572902887,,0,0
2020-04-29,64507.33,0.004312604,0.004312604,0.14,3.080431672,,0.162857143,2.648090385,,0,0
2020-04-30,64764.27,0.003983113,0.003983113,0.07,5.690161767,,0.152857143,2.605775015,,0,0
2020-05-01,64714.27,-0.000772031,0.000772031,0.07,1.102900896,,0.142857143,0.540421439,,0,0
2020-05-02,64714.27,0,0,0.07,0,,0.132857143,0,,0,0
2020-05-03,64714.27,0,0,0.07,0,,0.122857143,0,,0,0
2020-05-04,64856.27,0.002194261,0.002194261,0.07,3.134658598,,0.09,2.438067798,,0,0
2020-05-05,64806.07,-0.000774019,0.000774019,0.54,0.143336894,,0.147142857,0.526032485,,0,0
2020-05-06,65127.07,0.00495324,0.00495324,0.53,0.934573532,,0.202857143,2.44173789,,0,0
2020-05-07,65093.07,-0.000522056,0.000522056,0.54,0.096677101,,0.27,0.193354201,,0,0
2020-05-08,65106.07,0.000199714,0.000199714,0.53,0.037681894,,0.335714286,0.059489289,,0,0
2020-05-09,65106.07,0,0,0.53,0,,0.401428571,0,,0,0
2020-05-10,65106.07,0,0,0.53,0,,0.467142857,0,,0,0
2020-05-11,65641.04,0.008216899,0.008216899,0.57,1.441561224,,0.538571429,1.52568416,,0,0
2020-05-12,65386.77,-0.003873644,0.003873644,0.49,0.790539527,,0.531428571,0.728911446,,0,0
2020-05-13,65472.3,0.001308063,0.001308063,0.57,0.229484698,,0.537142857,0.243522326,,0,0
2020-05-14,65695.36,0.003406937,0.003406937,0.42,0.811175471,,0.52,0.655180188,,0,0
2020-05-15,65686.34,-0.0001373,0.0001373,0.26,0.052807851,,0.481428571,0.028519373,,0,0
2020-05-16,65686.34,0,0,0.26,0,,0.442857143,0,,0,0
2020-05-17,65686.34,0,0,0.26,0,,0.404285714,0,,0,0
2020-05-18,65689.34,4.56716E-05,4.56716E-05,0.26,0.017565999,,0.36,0.012686555,,0,0
2020-05-19,65838.32,0.002267948,0.002267948,0.19,1.193656784,,0.317142857,0.715118704,,0,0
2020-05-20,65961.32,0.001868213,0.001868213,0.19,0.983269957,,0.262857143,0.710733176,,0,0
2020-05-21,65787.36,-0.002637303,0.002637303,0.11,2.397548359,,0.218571429,1.206609305,,0,0
2020-05-22,65816.36,0.000440814,0.000440814,0.08,0.551017703,,0.192857143,0.228570306,,0,0
2020-05-23,65816.36,0,0,0.08,0,,0.167142857,0,,0,0
2020-05-24,65816.36,0,0,0.08,0,,0.141428571,0,,0,0
2020-05-25,65816.36,0,0,0.08,0,,0.115714286,0,,0,0
